State,Year,Beer,Wine,Spirits
,1977,1.01,0.2,0.84
North Dakota,2009,1.63,0.25,1.16
,2008,1.63,0.24,1.14
,2007,1.57,0.23,1.08
,2006,1.52,0.21,1.01
,2005,1.51,0.19,0.95
,2004,1.5,0.18,0.83
,2003,1.54,0.17,0.86
,2002,1.51,0.16,0.84
,2001,1.46,0.15,0.8
,2000,1.47,0.15,0.79
,1999,1.49,0.15,0.78
,1998,1.45,0.13,0.76
,1997,1.4,0.13,0.77
,1996,1.4,0.13,0.77
,1995,1.35,0.16,0.77
,1994,1.39,0.15,0.78
,1993,1.37,0.15,0.84
,1992,1.38,0.15,0.85
,1991,1.43,0.16,0.86
,1990,1.47,0.17,0.93
,1989,1.38,0.17,0.84
,1988,1.38,0.19,0.86
,1987,1.35,0.2,0.87
,1986,1.32,0.22,0.86
,1985,1.33,0.19,0.96
,1984,1.4,0.17,0.98
,1983,1.48,0.17,1.05
,1982,1.52,0.18,1.09
,1981,1.53,0.18,1.14
,1980,1.53,0.17,1.14
,1979,1.45,0.16,1.1
,1978,1.45,0.16,1.15
,1977,1.35,0.15,1.12
Ohio,2009,1.28,0.26,0.47
,2008,1.32,0.26,0.46
,2007,1.33,0.25,0.45
,2006,1.32,0.24,0.44
,2005,1.31,0.23,0.43
,2004,1.33,0.22,0.41
,2003,1.33,0.22,0.48
,2002,1.34,0.21,0.47
,2001,1.33,0.21,0.47
,2000,1.3,0.19,0.5
,1999,1.32,0.2,0.48
,1998,1.31,0.19,0.47
,1997,1.28,0.18,0.46
,1996,1.3,0.18,0.45
,1995,1.28,0.17,0.46
,1994,1.31,0.16,0.37
,1993,1.29,0.16,0.5
,1992,1.32,0.17,0.5
,1991,1.33,0.18,0.51
,1990,1.34,0.22,0.53
,1989,1.35,0.22,0.5
,1988,1.34,0.24,0.54
,1987,1.35,0.24,0.59
,1986,1.32,0.25,0.6
,1985,1.37,0.25,0.59
,1984,1.41,0.25,0.61
,1983,1.36,0.22,0.65
,1982,1.4,0.22,0.66
,1981,1.35,0.22,0.68
,1980,1.39,0.22,0.72
,1979,1.36,0.2,0.71
,1978,1.19,0.2,0.7
,1977,1.17,0.18,0.7
Oklahoma,2009,1.18,0.18,0.58
,2008,1.23,0.18,0.58
,2007,1.18,0.17,0.58
,2006,1.15,0.17,0.57
,2005,1.09,0.16,0.55
,2004,1.1,0.13,0.45
,2003,1.06,0.13,0.73
,2002,1.11,0.13,0.58
,2001,1.11,0.12,0.43
,2000,1.13,0.12,0.44
,1999,1.11,0.12,0.44
,1998,1.12,0.12,0.43
,1997,1.1,0.12,0.43
,1996,1.09,0.12,0.45
,1995,1.1,0.12,0.44
,1994,1.15,0.13,0.5
,1993,1.11,0.11,0.48
,1992,1.13,0.13,0.55
,1991,1.09,0.13,0.54
,1990,1.12,0.14,0.55
,1989,1.05,0.13,0.53
,1988,1.05,0.14,0.5
,1987,1.04,0.15,0.57
,1986,1.04,0.15,0.61
,1985,1.04,0.15,0.68
,1984,1.01,0.16,0.74
,1983,1.05,0.16,0.77
,1982,1.17,0.16,0.83
,1981,1.14,0.16,0.83
,1980,1.08,0.16,0.71
,1979,1.05,0.13,0.8
,1978,1.08,0.14,0.82
,1977,1.07,0.14,0.78
Oregon,2009,1.28,0.49,0.82
,2008,1.21,0.49,0.82
,2007,1.29,0.49,0.81
,2006,1.26,0.49,0.78
,2005,1.23,0.48,0.74
,2004,1.22,0.49,0.71
,2003,1.2,0.47,0.68
,2002,1.22,0.46,0.66
,2001,1.22,0.43,0.65
,2000,1.2,0.44,0.64
,1999,1.21,0.43,0.63
,1998,1.2,0.43,0.61
,1997,1.19,0.44,0.6
,1996,1.23,0.44,0.61
,1995,1.21,0.42,0.59
,1994,1.23,0.37,0.62
,1993,1.24,0.43,0.64
,1992,1.29,0.46,0.67
,1991,1.28,0.44,0.67
,1990,1.32,0.47,0.73
,1989,1.26,0.46,0.69
,1988,1.27,0.51,0.71
,1987,1.26,0.53,0.72
,1986,1.26,0.54,0.73
,1985,1.25,0.55,0.77
,1984,1.28,0.53,0.82
,1983,1.31,0.53,0.85
,1982,1.33,0.53,0.88
,1981,1.38,0.5,0.92
,1980,1.37,0.51,0.94
,1979,1.39,0.47,0.96
,1978,1.34,0.47,0.98
,1977,1.33,0.46,0.96
Pennsylvania,2009,1.35,0.23,0.61
,2008,1.36,0.23,0.6
,2007,1.34,0.24,0.59
,2006,1.3,0.24,0.57
,2005,1.29,0.24,0.55
,2004,1.3,0.24,0.54
,2003,1.3,0.23,0.51
,2002,1.35,0.22,0.49
,2001,1.32,0.2,0.48
,2000,1.21,0.21,0.47
,1999,1.2,0.21,0.46
,1998,1.21,0.19,0.45
,1997,1.2,0.19,0.44
,1996,1.22,0.19,0.45
,1995,1.23,0.18,0.45
,1994,1.28,0.18,0.47
,1993,1.31,0.17,0.48
,1992,1.3,0.18,0.51
,1991,1.36,0.17,0.52
,1990,1.42,0.18,0.55
,1989,1.36,0.18,0.56
,1988,1.39,0.19,0.53
,1987,1.38,0.2,0.61
,1986,1.38,0.21,0.64
,1985,1.37,0.21,0.65
,1984,1.37,0.21,0.66
,1983,1.41,0.22,0.67
,1982,1.44,0.23,0.7
,1981,1.42,0.23,0.72
,1980,1.45,0.22,0.71
,1979,1.42,0.22,0.73
,1978,1.36,0.21,0.74
,1977,1.35,0.2,0.74
Rhode Island,2009,1.1,0.53,0.92
,2008,1.13,0.54,0.91
,2007,1.13,0.54,0.9
,2006,1.13,0.53,0.86
,2005,1.13,0.51,0.81
,2004,1.12,0.49,0.79
,2003,1.12,0.51,0.79
,2002,1.17,0.48,0.73
,2001,1.19,0.46,0.7
,2000,1.15,0.46,0.7
,1999,1.14,0.45,0.69
,1998,1.14,0.47,0.63
,1997,1.22,0.44,0.64
,1996,1.16,0.42,0.65
,1995,1.19,0.38,0.6
,1994,1.23,0.38,0.66
,1993,1.22,0.36,0.69
,1992,1.24,0.39,0.7
,1991,1.33,0.37,0.71
,1990,1.31,0.44,0.79
,1989,1.37,0.46,0.87
,1988,1.39,0.49,0.97
,1987,1.4,0.51,0.94
,1986,1.41,0.53,0.93
,1985,1.4,0.51,1.03
,1984,1.37,0.52,1.03
,1983,1.48,0.5,1.06
,1982,1.34,0.55,1.04
,1981,1.36,0.52,1.04
,1980,1.46,0.53,1.14
,1979,1.46,0.5,1.11
,1978,1.41,0.5,1.16
,1977,1.39,0.43,1.12
South Carolina,2009,1.36,0.24,0.77
,2008,1.41,0.24,0.77
,2007,1.43,0.24,0.77
,2006,1.46,0.24,0.77
,2005,1.41,0.24,0.76
,2004,1.44,0.24,0.76
,2003,1.38,0.23,0.74
,2002,1.47,0.22,0.67
,2001,1.45,0.22,0.65
,2000,1.45,0.22,0.7
,1999,1.43,0.22,0.72
,1998,1.42,0.21,0.72
,1997,1.4,0.19,0.71
,1996,1.39,0.21,0.71
,1995,1.38,0.18,0.67
,1994,1.38,0.17,0.74
,1993,1.36,0.2,0.75
,1992,1.34,0.2,0.79
,1991,1.34,0.22,0.84
,1990,1.44,0.25,0.92
,1989,1.37,0.24,0.86
,1988,1.37,0.26,0.89
,1987,1.34,0.27,0.88
,1986,1.3,0.27,0.92
,1985,1.26,0.25,0.99
,1984,1.26,0.24,1
,1983,1.26,0.2,1.01
,1982,1.24,0.2,1
,1981,1.25,0.19,1.05
,1980,1.22,0.18,1.06
,1979,1.25,0.17,1.18
,1978,1.2,0.17,1.21
,1977,1.17,0.17,1.14
South Dakota,2009,1.53,0.22,0.88
,2008,1.56,0.22,0.86
,2007,1.51,0.22,0.86
,2006,1.51,0.19,0.79
,2005,1.5,0.19,0.83
,2004,1.5,0.18,0.76
,2003,1.51,0.16,0.73
,2002,1.51,0.16,0.7
,2001,1.46,0.15,0.71
,2000,1.44,0.15,0.68
,1999,1.43,0.14,0.7
,1998,1.42,0.13,0.68
,1997,1.36,0.13,0.69
,1996,1.36,0.13,0.68
,1995,1.34,0.12,0.73
,1994,1.38,0.12,0.73
,1993,1.35,0.12,0.73
,1992,1.37,0.15,0.74
,1991,1.37,0.15,0.76
,1990,1.36,0.18,0.8
,1989,1.25,0.15,0.7
,1988,1.21,0.16,0.76
,1987,1.24,0.19,0.79
,1986,1.22,0.19,0.81
,1985,1.22,0.18,0.94
,1984,1.27,0.17,0.89
,1983,1.3,0.17,0.95
,1982,1.29,0.18,0.98
,1981,1.32,0.19,1.05
,1980,1.3,0.18,1.07
,1979,1.23,0.17,1.04
,1978,1.19,0.17,1.05
,1977,1.15,0.17,1.06
Tennessee,2009,1.05,0.21,0.57
,2008,1.1,0.2,0.57
,2007,1.13,0.2,0.56
,2006,1.14,0.19,0.56
,2005,1.19,0.19,0.55
,2004,1.21,0.18,0.53
,2003,1.26,0.18,0.52
,2002,1.17,0.17,0.51
,2001,1.13,0.16,0.5
,2000,1.21,0.15,0.5
,1999,1.21,0.15,0.49
,1998,1.19,0.15,0.5
,1997,1.16,0.16,0.5
,1996,1.18,0.15,0.51
,1995,1.18,0.15,0.52
,1994,1.18,0.15,0.53
,1993,1.2,0.14,0.54
,1992,1.21,0.14,0.56
,1991,1.19,0.13,0.54
,1990,1.22,0.14,0.6
,1989,1.18,0.14,0.59
,1988,1.2,0.14,0.6
,1987,1.17,0.15,0.62
,1986,1.17,0.16,0.63
,1985,1.11,0.16,0.67
,1984,1.11,0.15,0.7
,1983,1.1,0.14,0.69
,1982,1.13,0.14,0.7
,1981,1.14,0.13,0.72
,1980,1.1,0.12,0.69
,1979,1.14,0.11,0.73
,1978,1.16,0.11,0.72
,1977,1.1,0.1,0.71
Texas,2009,1.42,0.28,0.58
,2008,1.44,0.27,0.58
,2007,1.41,0.27,0.56
,2006,1.43,0.26,0.55
,2005,1.42,0.25,0.53
,2004,1.45,0.24,0.52
,2003,1.46,0.23,0.51
,2002,1.5,0.22,0.5
,2001,1.51,0.21,0.49
,2000,1.53,0.22,0.5
,1999,1.54,0.2,0.49
,1998,1.53,0.23,0.49
,1997,1.54,0.2,0.47
,1996,1.56,0.22,0.49
,1995,1.55,0.19,0.49
,1994,1.6,0.2,0.51
,1993,1.6,0.2,0.53
,1992,1.65,0.24,0.55
,1991,1.6,0.25,0.55
,1990,1.64,0.26,0.58
,1989,1.62,0.26,0.58
,1988,1.61,0.28,0.59
,1987,1.61,0.29,0.61
,1986,1.67,0.31,0.65
,1985,1.68,0.3,0.73
,1984,1.74,0.28,0.79
,1983,1.73,0.27,0.79
,1982,1.83,0.18,0.84
,1981,1.84,0.24,0.85
,1980,1.77,0.22,0.81
,1979,1.76,0.14,0.87
,1978,1.7,0.14,0.84
,1977,1.63,0.14,0.81
Utah,2009,0.7,0.17,0.46
,2008,0.75,0.17,0.46
,2007,0.75,0.16,0.43
,2006,0.71,0.16,0.43
,2005,0.69,0.16,0.41
,2004,0.75,0.15,0.39
,2003,0.77,0.15,0.39
,2002,0.78,0.14,0.39
,2001,0.76,0.14,0.39
,2000,0.77,0.11,0.4
,1999,0.79,0.1,0.38
,1998,0.73,0.1,0.37
,1997,0.76,0.1,0.39
,1996,0.77,0.1,0.37
,1995,0.75,0.09,0.37
,1994,0.76,0.09,0.38
,1993,0.78,0.11,0.39
,1992,0.79,0.12,0.42
,1991,0.8,0.12,0.43
,1990,0.8,0.12,0.46
,1989,0.82,0.13,0.47
,1988,0.83,0.14,0.49
,1987,0.84,0.15,0.5
,1986,0.89,0.17,0.52
,1985,0.9,0.15,0.53
,1984,0.88,0.14,0.52
,1983,0.88,0.14,0.5
,1982,1.01,0.15,0.55
,1981,1.01,0.15,0.58
,1980,0.96,0.14,0.6
,1979,0.97,0.16,0.62
,1978,0.96,0.15,0.61
,1977,0.97,0.14,0.59
Vermont,2009,1.36,0.63,0.7
,2008,1.37,0.62,0.71
,2007,1.37,0.61,0.7
,2006,1.35,0.58,0.69
,2005,1.33,0.56,0.67
,2004,1.32,0.54,0.66
,2003,1.32,0.51,0.64
,2002,1.32,0.49,0.63
,2001,1.29,0.47,0.63
,2000,1.23,0.47,0.63
,1999,1.23,0.47,0.62
,1998,1.25,0.47,0.62
,1997,1.23,0.46,0.63
,1996,1.29,0.46,0.64
,1995,1.27,0.41,0.66
,1994,1.34,0.42,0.74
,1993,1.34,0.44,0.74
,1992,1.35,0.44,0.78
,1991,1.41,0.46,0.82
,1990,1.47,0.48,0.85
,1989,1.45,0.51,0.88
,1988,1.51,0.56,0.93
,1987,1.56,0.58,0.98
,1986,1.55,0.59,1.04
,1985,1.49,0.55,1.09
,1984,1.48,0.49,1.15
,1983,1.52,0.5,1.19
,1982,1.49,0.5,1.25
,1981,1.49,0.5,1.33
,1980,1.43,0.48,1.39
,1979,1.57,0.47,1.5
,1978,1.53,0.47,1.59
,1977,1.42,0.44,1.58
Virginia,2009,1.11,0.43,0.59
,2008,1.14,0.42,0.59
,2007,1.13,0.41,0.58
,2006,1.14,0.39,0.57
,2005,1.13,0.38,0.55
,2004,1.14,0.37,0.54
,2003,1.14,0.36,0.53
,2002,1.15,0.34,0.51
,2001,1.15,0.32,0.5
,2000,1.16,0.31,0.5
,1999,1.18,0.32,0.47
,1998,1.18,0.29,0.47
,1997,1.13,0.29,0.48
,1996,1.13,0.3,0.49
,1995,1.15,0.29,0.49
,1994,1.2,0.27,0.51
,1993,1.24,0.27,0.54
,1992,1.25,0.28,0.57
,1991,1.2,0.28,0.58
,1990,1.25,0.3,0.62
,1989,1.23,0.31,0.65
,1988,1.31,0.25,0.68
,1987,1.4,0.26,0.71
,1986,1.52,0.27,0.73
,1985,1.46,0.3,0.79
,1984,1.46,0.29,0.8
,1983,1.47,0.27,0.82
,1982,1.45,0.27,0.86
,1981,1.23,0.27,0.89
,1980,1.23,0.25,0.91
,1979,1.23,0.25,0.92
,1978,1.22,0.21,0.9
,1977,1.19,0.21,0.9
Washington,2009,1.09,0.51,0.74
,2008,1.09,0.5,0.76
,2007,1.11,0.5,0.74
,2006,1.05,0.48,0.71
,2005,1.1,0.55,0.68
,2004,1.04,0.46,0.69
,2003,1.05,0.46,0.67
,2002,1.08,0.42,0.65
,2001,1.08,0.4,0.65
,2000,1.09,0.41,0.66
,1999,1.1,0.4,0.63
,1998,1.12,0.43,0.63
,1997,1.11,0.42,0.63
,1996,1.13,0.4,0.63
,1995,1.14,0.4,0.63
,1994,1.18,0.39,0.65
,1993,1.19,0.39,0.69
,1992,1.26,0.46,0.72
,1991,1.23,0.43,0.73
,1990,1.27,0.46,0.76
,1989,1.24,0.47,0.75
,1988,1.22,0.5,0.77
,1987,1.23,0.56,0.79
,1986,1.23,0.61,0.82
,1985,1.22,0.59,0.87
,1984,1.24,0.57,0.91
,1983,1.29,0.54,0.94
,1982,1.33,0.53,0.99
,1981,1.38,0.54,1.05
,1980,1.52,0.52,1.08
,1979,1.41,0.48,1.1
,1978,1.39,0.48,1.09
,1977,1.36,0.45,1.08
West Virginia,2009,1.24,0.1,0.45
,2008,1.26,0.1,0.44
,2007,1.24,0.1,0.42
,2006,1.22,0.1,0.42
,2005,1.23,0.1,0.4
,2004,1.25,0.1,0.39
,2003,1.23,0.1,0.38
,2002,1.26,0.1,0.38
,2001,1.23,0.1,0.37
,2000,1.18,0.1,0.35
,1999,1.18,0.1,0.37
,1998,1.17,0.1,0.36
,1997,1.14,0.1,0.37
,1996,1.14,0.1,0.37
,1995,1.14,0.09,0.38
,1994,1.17,0.08,0.39
,1993,1.18,0.08,0.4
,1992,1.16,0.09,0.41
,1991,1.18,0.09,0.43
,1990,1.2,0.1,0.42
,1989,1.12,0.11,0.38
,1988,1.12,0.12,0.4
,1987,1.11,0.13,0.41
,1986,1.1,0.13,0.41
,1985,1.11,0.13,0.42
,1984,1.12,0.12,0.44
,1983,1.13,0.13,0.48
,1982,1.11,0.14,0.55
,1981,1.06,0.14,0.66
,1980,1,0.09,0.72
,1979,0.97,0.09,0.77
,1978,0.96,0.09,0.79
,1977,0.98,0.09,0.78
Wisconsin,2009,1.49,0.31,1.16
,2008,1.53,0.34,1.12
,2007,1.54,0.33,1.11
,2006,1.56,0.32,1.09
,2005,1.55,0.31,1.07
,2004,1.52,0.3,1.01
,2003,1.52,0.29,1
,2002,1.56,0.28,0.98
,2001,1.53,0.26,0.95
,2000,1.54,0.27,0.95
,1999,1.53,0.26,0.92
,1998,1.61,0.26,0.79
,1997,1.57,0.25,0.89
,1996,1.53,0.24,0.88
,1995,1.55,0.23,0.87
,1994,1.58,0.22,0.91
,1993,1.59,0.22,0.89
,1992,1.59,0.25,0.9
,1991,1.65,0.27,0.84
,1990,1.74,0.31,1.03
,1989,1.71,0.31,0.95
,1988,1.75,0.33,0.95
,1987,1.78,0.36,0.97
,1986,1.87,0.34,0.95
,1985,1.82,0.32,1.05
,1984,1.86,0.3,1.03
,1983,1.93,0.33,1.07
,1982,1.93,0.3,1.04
,1981,1.95,0.31,1.2
,1980,1.96,0.31,1.2
,1979,1.88,0.28,1.17
,1978,1.8,0.28,1.18
,1977,1.78,0.27,1.26
Wyoming,2009,1.45,0.22,1.1
,2008,1.54,0.23,1.12
,2007,1.49,0.23,1.1
,2006,1.47,0.23,1.05
,2005,1.21,0.23,0.97
,2004,1.41,0.22,0.92
,2003,1.69,0.23,0.9
,2002,1.46,0.22,0.88
,2001,1.43,0.22,0.88
,2000,1.42,0.18,0.86
,1999,1.41,0.18,0.84
,1998,1.38,0.2,0.81
,1997,1.36,0.17,0.81
,1996,1.37,0.16,0.81
,1995,1.34,0.16,0.8
,1994,1.42,0.18,0.83
,1993,1.4,0.19,0.86
,1992,1.44,0.2,0.91
,1991,1.45,0.2,0.9
,1990,1.48,0.22,0.93
,1989,1.35,0.22,0.82
,1988,1.39,0.23,0.83
,1987,1.46,0.24,0.86
,1986,1.46,0.26,0.92
,1985,1.56,0.25,1.03
,1984,1.58,0.22,1.05
,1983,1.66,0.22,1.09
,1982,1.8,0.24,1.21
,1981,1.91,0.24,1.27
,1980,1.85,0.24,1.32
,1979,1.86,0.22,1.3
,1978,1.82,0.22,1.36
,1977,1.79,0.21,1.32
